pair_csv_name,station_a,station_b,count,mean,median,std,min,p05,p10,p90,p95,max,time_ratio_rel_lt_0.95,time_ratio_rel_lt_0.98,time_ratio_rel_ge_0.99
region1--station0-region2--station5.csv,0,5,86165.0,0.951357591284262,0.9586757785760099,0.017362507161999576,0.9117324566968131,0.9209418754513263,0.9209418754513263,0.969328701,0.969328701,0.970299,0.33576278071142573,1.0,0.0
region1--station0-region2--station6.csv,0,6,86165.0,0.9475303613692626,0.954846823682633,0.01496266882516297,0.9218637391905169,0.9227865257162331,0.9227865257162331,0.96059601,0.968359372299,0.969328701,0.4015667614460628,1.0,0.0
region1--station0-region2--station7.csv,0,7,86165.0,0.9604763856436471,0.968359372299,0.021081756843020234,0.9053284022567368,0.9135586604590709,0.91630482694172,0.9781407801,0.9781407801,0.9781407801,0.18772123251900424,1.0,0.0
region1--station0-region2--station8.csv,0,8,86165.0,0.9463095539705237,0.9481399317694595,0.012595334514634215,0.9227865257162331,0.9311754941318353,0.9311754941318353,0.95963541399,0.96059601,0.96059601,0.5176579817791447,1.0,0.0
region1--station0-region2--station9.csv,0,9,86165.0,0.9474062753420531,0.9577171027974339,0.014349579495079569,0.9209418754513263,0.9218637391905169,0.9227865257162331,0.95963541399,0.95963541399,0.95963541399,0.3966111530203679,1.0,0.0
region1--station0-region2--station10.csv,0,10,86165.0,0.9506874687706616,0.9586757785760099,0.01745632784213794,0.9126451017986117,0.9209418754513263,0.9218637391905169,0.968359372299,0.968359372299,0.968359372299,0.3399872337956247,1.0,0.0
region1--station0-region2--station11.csv,0,11,86165.0,0.9435515708606284,0.9481829143139127,0.009429773059564052,0.91630482694172,0.9255604312542626,0.9255604312542626,0.9510331616504121,0.9510331616504121,0.9596789176654158,0.6688910810653977,1.0,0.0
region1--station0-region2--station12.csv,0,12,86165.0,0.9503811549051898,0.9577605195090028,0.013561741087540286,0.9062346368936304,0.9153885221147783,0.9302021492765239,0.9606395572226385,0.9606395572226385,0.976229730629011,0.3657053327917368,1.0,0.0
region1--station0-region2--station13.csv,0,13,86165.0,0.9467056715003321,0.9510331616504121,0.011888477148629858,0.9153885221147783,0.9237102359521853,0.9246348708230083,0.9596789176654158,0.9596789176654158,0.9606395572226385,0.488017176347705,1.0,0.0
region1--station0-region2--station14.csv,0,14,86165.0,0.9430150542325297,0.9424652953292371,0.008477833130626947,0.91630482694172,0.9255604312542626,0.9255604312542626,0.9519851467972092,0.9519851467972092,0.9596789176654158,0.6939244472813787,1.0,0.0
