t,link_count,changed,add_edges,del_edges
318,548,0,0,0
319,548,0,0,0
320,548,0,0,0
321,548,0,0,0
322,548,0,0,0
323,548,0,0,0
324,548,0,0,0
325,548,0,0,0
326,548,0,0,0
327,548,0,0,0
328,548,0,0,0
329,548,0,0,0
330,548,0,0,0
331,548,0,0,0
332,548,0,0,0
333,548,0,0,0
334,548,0,0,0
335,548,0,0,0
336,548,0,0,0
337,548,0,0,0
338,548,0,0,0
339,548,0,0,0
340,548,0,0,0
341,548,0,0,0
342,548,0,0,0
343,548,0,0,0
344,548,0,0,0
345,548,0,0,0
346,548,0,0,0
347,548,0,0,0
348,548,0,0,0
349,548,0,0,0
350,548,0,0,0
351,548,0,0,0
352,548,0,0,0
353,548,0,0,0
354,548,0,0,0
355,548,0,0,0
356,548,0,0,0
357,548,0,0,0
358,548,0,0,0
359,548,0,0,0
360,548,0,0,0
361,548,0,0,0
362,548,0,0,0
363,548,0,0,0
364,548,0,0,0
365,548,0,0,0
366,548,0,0,0
367,548,0,0,0
368,548,0,0,0
369,548,0,0,0
370,548,0,0,0
371,548,0,0,0
372,548,0,0,0
373,548,0,0,0
374,548,0,0,0
375,548,0,0,0
376,548,0,0,0
377,583,1,41,6
378,583,0,0,0
379,583,0,0,0
380,583,0,0,0
381,583,0,0,0
382,583,0,0,0
383,583,0,0,0
384,583,0,0,0
385,583,0,0,0
386,583,0,0,0
387,583,0,0,0
388,583,0,0,0
389,583,0,0,0
390,583,0,0,0
391,583,0,0,0
392,583,0,0,0
393,583,0,0,0
394,583,0,0,0
395,583,0,0,0
396,583,0,0,0
397,583,0,0,0
398,583,0,0,0
399,583,0,0,0
400,583,0,0,0
401,583,0,0,0
402,583,0,0,0
403,583,0,0,0
404,583,0,0,0
405,583,0,0,0
406,583,0,0,0
407,583,0,0,0
408,583,0,0,0
409,583,0,0,0
410,583,0,0,0
411,583,0,0,0
412,583,0,0,0
413,583,0,0,0
414,583,0,0,0
415,583,0,0,0
416,583,0,0,0
417,583,0,0,0
418,583,0,0,0
419,583,0,0,0
420,583,0,0,0
421,583,0,0,0
422,583,0,0,0
423,583,0,0,0
424,583,0,0,0
425,583,0,0,0
426,583,0,0,0
427,583,0,0,0
428,583,0,0,0
429,583,0,0,0
430,583,0,0,0
431,583,0,0,0
432,583,0,0,0
433,583,0,0,0
434,583,0,0,0
435,583,0,0,0
436,583,0,0,0
437,589,1,6,0
438,589,0,0,0
439,589,0,0,0
440,589,0,0,0
441,589,0,0,0
442,589,0,0,0
443,589,0,0,0
444,589,0,0,0
445,589,0,0,0
446,589,0,0,0
447,589,0,0,0
448,589,0,0,0
449,589,0,0,0
450,589,0,0,0
451,589,0,0,0
452,589,0,0,0
453,589,0,0,0
454,589,0,0,0
455,589,0,0,0
456,589,0,0,0
457,589,0,0,0
458,589,0,0,0
459,589,0,0,0
460,589,0,0,0
461,589,0,0,0
462,589,0,0,0
463,589,0,0,0
464,589,0,0,0
465,589,0,0,0
466,589,0,0,0
467,589,0,0,0
468,589,0,0,0
469,589,0,0,0
470,589,0,0,0
471,589,0,0,0
472,589,0,0,0
473,589,0,0,0
474,589,0,0,0
475,589,0,0,0
476,589,0,0,0
477,589,0,0,0
478,589,0,0,0
479,589,0,0,0
480,589,0,0,0
481,589,0,0,0
482,589,0,0,0
483,589,0,0,0
484,589,0,0,0
485,589,0,0,0
486,589,0,0,0
487,589,0,0,0
488,589,0,0,0
489,548,1,0,41
490,548,0,0,0
491,548,0,0,0
492,548,0,0,0
493,548,0,0,0
494,548,0,0,0
495,548,0,0,0
496,548,0,0,0
497,548,0,0,0
498,548,0,0,0
499,548,0,0,0
500,548,0,0,0
501,548,0,0,0
502,548,0,0,0
503,548,0,0,0
504,548,0,0,0
505,548,0,0,0
506,548,0,0,0
507,548,0,0,0
508,548,0,0,0
509,548,0,0,0
510,548,0,0,0
511,548,0,0,0
512,548,0,0,0
513,548,0,0,0
514,548,0,0,0
515,548,0,0,0
516,548,0,0,0
517,548,0,0,0
518,548,0,0,0
519,548,0,0,0
520,548,0,0,0
521,548,0,0,0
522,548,0,0,0
523,548,0,0,0
524,548,0,0,0
525,548,0,0,0
526,548,0,0,0
527,548,0,0,0
528,548,0,0,0
529,548,0,0,0
530,548,0,0,0
531,548,0,0,0
532,548,0,0,0
533,548,0,0,0
534,548,0,0,0
535,548,0,0,0
536,548,0,0,0
537,548,0,0,0
538,548,0,0,0
539,548,0,0,0
540,548,0,0,0
541,548,0,0,0
542,548,0,0,0
543,548,0,0,0
544,548,0,0,0
545,548,0,0,0
546,548,0,0,0
547,548,0,0,0
548,548,0,0,0
549,583,1,41,6
550,583,0,0,0
551,583,0,0,0
552,583,0,0,0
553,583,0,0,0
554,583,0,0,0
555,583,0,0,0
556,583,0,0,0
557,583,0,0,0
558,583,0,0,0
559,583,0,0,0
560,583,0,0,0
561,583,0,0,0
562,583,0,0,0
563,583,0,0,0
564,583,0,0,0
565,583,0,0,0
566,583,0,0,0
567,583,0,0,0
568,583,0,0,0
569,583,0,0,0
570,583,0,0,0
571,583,0,0,0
572,583,0,0,0
573,583,0,0,0
574,583,0,0,0
575,583,0,0,0
576,583,0,0,0
577,583,0,0,0
578,583,0,0,0
579,583,0,0,0
580,583,0,0,0
581,583,0,0,0
582,583,0,0,0
583,583,0,0,0
584,583,0,0,0
585,583,0,0,0
586,583,0,0,0
587,583,0,0,0
588,583,0,0,0
589,583,0,0,0
590,583,0,0,0
591,583,0,0,0
592,583,0,0,0
593,583,0,0,0
594,583,0,0,0
595,583,0,0,0
596,583,0,0,0
597,583,0,0,0
598,583,0,0,0
599,583,0,0,0
600,583,0,0,0
601,583,0,0,0
602,583,0,0,0
603,583,0,0,0
604,583,0,0,0
605,583,0,0,0
606,583,0,0,0
607,583,0,0,0
608,583,0,0,0
609,589,1,6,0
610,589,0,0,0
611,589,0,0,0
612,589,0,0,0
613,589,0,0,0
614,589,0,0,0
615,589,0,0,0
616,589,0,0,0
617,589,0,0,0
618,589,0,0,0
619,589,0,0,0
620,589,0,0,0
621,589,0,0,0
622,589,0,0,0
623,589,0,0,0
624,589,0,0,0
625,589,0,0,0
626,589,0,0,0
627,589,0,0,0
628,589,0,0,0
629,589,0,0,0
630,589,0,0,0
631,589,0,0,0
632,589,0,0,0
633,589,0,0,0
634,589,0,0,0
635,589,0,0,0
636,589,0,0,0
637,589,0,0,0
638,589,0,0,0
639,589,0,0,0
640,589,0,0,0
641,589,0,0,0
642,589,0,0,0
643,589,0,0,0
644,589,0,0,0
645,589,0,0,0
646,589,0,0,0
647,589,0,0,0
648,589,0,0,0
649,589,0,0,0
650,589,0,0,0
651,589,0,0,0
652,589,0,0,0
653,589,0,0,0
654,589,0,0,0
655,589,0,0,0
656,589,0,0,0
657,589,0,0,0
658,589,0,0,0
659,589,0,0,0
660,589,0,0,0
661,548,1,0,41
662,548,0,0,0
663,548,0,0,0
664,548,0,0,0
665,548,0,0,0
666,548,0,0,0
667,548,0,0,0
668,548,0,0,0
669,548,0,0,0
670,548,0,0,0
671,548,0,0,0
672,548,0,0,0
673,548,0,0,0
674,548,0,0,0
675,548,0,0,0
676,548,0,0,0
677,548,0,0,0
678,548,0,0,0
679,548,0,0,0
680,548,0,0,0
681,548,0,0,0
682,548,0,0,0
683,548,0,0,0
684,548,0,0,0
685,548,0,0,0
686,548,0,0,0
687,548,0,0,0
688,548,0,0,0
689,548,0,0,0
690,548,0,0,0
691,548,0,0,0
692,548,0,0,0
693,548,0,0,0
694,548,0,0,0
695,548,0,0,0
696,548,0,0,0
697,548,0,0,0
698,548,0,0,0
699,548,0,0,0
700,548,0,0,0
701,548,0,0,0
702,548,0,0,0
703,548,0,0,0
704,548,0,0,0
705,548,0,0,0
706,548,0,0,0
707,548,0,0,0
708,548,0,0,0
709,548,0,0,0
710,548,0,0,0
711,548,0,0,0
712,548,0,0,0
713,548,0,0,0
714,548,0,0,0
715,548,0,0,0
716,548,0,0,0
717,548,0,0,0
718,548,0,0,0
719,548,0,0,0
720,548,0,0,0
721,583,1,41,6
722,583,0,0,0
723,583,0,0,0
724,583,0,0,0
725,583,0,0,0
726,583,0,0,0
727,583,0,0,0
728,583,0,0,0
729,583,0,0,0
730,583,0,0,0
731,583,0,0,0
732,583,0,0,0
733,583,0,0,0
734,583,0,0,0
735,583,0,0,0
736,583,0,0,0
737,583,0,0,0
738,583,0,0,0
739,583,0,0,0
740,583,0,0,0
741,583,0,0,0
742,583,0,0,0
743,583,0,0,0
744,583,0,0,0
745,583,0,0,0
746,583,0,0,0
747,583,0,0,0
748,583,0,0,0
749,583,0,0,0
750,583,0,0,0
751,583,0,0,0
752,583,0,0,0
753,583,0,0,0
754,583,0,0,0
755,583,0,0,0
756,583,0,0,0
757,583,0,0,0
758,583,0,0,0
759,583,0,0,0
760,583,0,0,0
761,583,0,0,0
762,583,0,0,0
763,583,0,0,0
764,583,0,0,0
765,583,0,0,0
766,583,0,0,0
767,583,0,0,0
768,583,0,0,0
769,583,0,0,0
770,583,0,0,0
771,583,0,0,0
772,583,0,0,0
773,583,0,0,0
774,583,0,0,0
775,583,0,0,0
776,583,0,0,0
777,583,0,0,0
778,583,0,0,0
779,583,0,0,0
780,583,0,0,0
781,589,1,6,0
782,589,0,0,0
783,589,0,0,0
784,589,0,0,0
785,589,0,0,0
786,589,0,0,0
787,589,0,0,0
788,589,0,0,0
789,589,0,0,0
790,589,0,0,0
791,589,0,0,0
792,589,0,0,0
793,589,0,0,0
794,589,0,0,0
795,589,0,0,0
796,589,0,0,0
797,589,0,0,0
798,589,0,0,0
799,589,0,0,0
800,589,0,0,0
801,589,0,0,0
802,589,0,0,0
803,589,0,0,0
804,589,0,0,0
805,589,0,0,0
806,589,0,0,0
807,589,0,0,0
808,589,0,0,0
809,589,0,0,0
810,589,0,0,0
811,589,0,0,0
812,589,0,0,0
813,589,0,0,0
814,589,0,0,0
815,589,0,0,0
816,589,0,0,0
817,589,0,0,0
818,589,0,0,0
819,589,0,0,0
820,589,0,0,0
821,589,0,0,0
822,589,0,0,0
823,589,0,0,0
824,589,0,0,0
825,589,0,0,0
826,589,0,0,0
827,589,0,0,0
828,589,0,0,0
829,589,0,0,0
